number,bvid,aid,tid,tname,title,pubdate,ctime,state,duration,dynamic,cid,width,height,is_stein_gate
44,BV1KW411r7WJ,32129802,136,音游,跳舞的线 + 植物大战僵尸 = ？？？（持续更新）,2018-09-21 05:55:02,2018-09-21 05:55:02,0,715,#音游##跳舞的线##植物大战僵尸#    几个月没更新了(⊙o⊙）,70501656,1920,1080,0
45,BV1rW411U7pi,32565596,17,单机游戏,用抖音、B站的方式打开MC（搞笑勿当真）,2018-09-30 17:00:11,2018-09-27 14:53:23,0,290,#MINECRAFT##单机联机##我的世界#   搞笑翻拍！刚开头就高能~,57268659,1920,1000,0
46,BV1rW411277R,33225980,17,单机游戏,【用mc翻拍语文书】《在山的那边》,2018-10-06 09:55:55,2018-10-06 09:55:55,0,164,#MC##MINECRAFT##单机联机#   更换封面，新增2p（含删减片段）,58157412,1920,1000,0
47,BV1Dt411f7b5,33675833,17,单机游戏,【我的世界】南方 vs 北方（过于真实）,2018-10-12 16:59:46,2018-10-12 16:59:46,0,345,#单机游戏##我的世界##Minecraft#  全程高能！这次视频应该算是花了120%的精力去制作了...喜欢就请点个推荐，让更多人看到，谢谢~,371130474,1920,1000,0
48,BV13t411d7Zt,34535340,17,单机游戏,如果你在拼多多上购买《我的世界》,2018-10-26 17:00:28,2018-10-25 01:04:28,0,402,#单机联机##我的世界##Minecraft#  这也许可能大概好像似乎有概率是一期高质量的视频？？？？？,371133118,1920,1000,0
49,BV1Gt411y7V5,36549571,17,单机游戏,【我的世界】五道高智商推理题，你能答对几道？,2018-11-23 17:00:30,2018-11-23 13:47:04,0,714,#单机联机##MINECRAFT##我的世界# 答案已更新,371134868,1920,1080,0
50,BV17t411D73o,37245354,17,单机游戏,【舞台剧＆花絮】一人精分100个人是怎样的骚操作?（BlockBuster演示）,2018-12-02 15:20:41,2018-12-02 15:20:41,0,359,#单机联机##Minecraft##我的世界#  大型精分现场,65474366,1920,1080,0
51,BV1Rt411i7L9,37750253,17,单机游戏,就玩个生存，我硬是玩出了音游的感觉（我的世界-创意短片）,2018-12-09 10:35:23,2018-12-09 10:35:23,0,178,#Minecraft##我的世界##单机联机#  脑洞大开的 酉告火玄 生存！,431236011,1920,1080,0
52,BV14t411Y75J,38648652,17,单机游戏,【别笑】mc史上最沙雕的跑酷地图 (╯°口°)╯┴—┴,2018-12-21 17:00:08,2018-12-21 14:34:03,0,470,#我的世界##Minecraft##单机联机#  千万别笑，忍住！这应该是质量最高的一期,371162639,1920,1000,0
53,BV1xt41167bo,39487488,17,单机游戏,我的世界 史上最吊『连锁反应』：序〈群系主题〉（金蛋/GoldenEggs原创作品）,2018-12-31 10:46:36,2018-12-31 10:46:36,0,472,#单机联机##我的世界##MINECRAFT#   这回真的是“史上最吊”了,69376294,1920,1000,0
54,BV1ab411C73j,42002401,17,单机游戏,我们都被骗了？mc生物其实是工作人员假扮的！（我的世界 搞笑短片）,2019-01-29 10:30:14,2019-01-29 08:17:15,0,674,#单机联机##MC##我的世界#  哇我的封面真是越来越骚了,371145108,1920,1000,0
55,BV1rb411U7m1,43008139,126,人力VOCALOID,燃烧我的语文书！！！（我的世界乱入）,2019-02-09 09:21:54,2019-02-09 09:21:54,0,206,#MINECRAFT##我的世界#鬼畜调教#  这个视频....我到底该投MC区，还是投鬼畜区呢......,75408163,1920,1000,0
56,BV1Ub411a7bn,44076411,17,单机游戏,用mc造出“不可能的三角”（仿纪念碑谷）,2019-02-19 17:21:36,2019-02-19 17:21:36,0,221,#MINECRAFT##单机联机##我的世界#  当“视觉错位”遇上Minecraft,370671254,1920,1000,0
57,BV1Qb411x7a9,47661105,17,单机游戏,B站最烂的视频可以有多烂？能坚持看完的都是魔鬼（我的世界-创意短片）,2019-03-29 16:47:50,2019-03-29 16:47:50,0,297,#单机联机##我的世界##MINECRAFT#   你爷爷关注的up主终于更新了,114780966,1920,1080,0
58,BV1m4411t71w,51067281,17,单机游戏,【我的世界 十周年进化史】让一个地图从远古版本进化到1.14（创意短片）（金蛋/GoldenEggs作品）,2019-05-01 19:56:41,2019-05-01 19:56:41,0,1073,#单机联机##MINECRAFT##我的世界#  你关注的月更up诈尸了！,370669138,1920,1000,0
59,BV164411Y7Vf,52017564,22,鬼畜调教,当蔡徐坤穿越到《我的世界》生存,2019-05-10 17:04:28,2019-05-10 17:04:28,0,212,#MC##鬼畜调教##蔡徐坤#  这个视频到底该投鬼畜区还是游戏区？,91061053,1920,1000,0
60,BV14x411X76A,57506002,17,单机游戏,我 的 猫 和 老 鼠,2019-07-02 12:00:05,2019-07-02 01:07:14,0,408,#单机联机##我的世界##MINECRAFT#  当当当，您关注的月更UP主更新啦~,361852428,1920,1080,0
61,BV1Gt411u7Ey,61901788,17,单机游戏,在孤岛上，如何活下来？（可调戏旁白+六种结局+彩蛋）我的世界 & 互动视频《鲁滨伟漂流记》,2019-08-02 19:15:52,2019-08-02 19:12:13,0,1790,"说出来你可能不信，这期视频甚至连PPT都用上了
#互动视频##我的世界##MINECRAFT#",292529543,1920,1000,1
62,BV1z4411U79r,63886747,17,单机游戏,我的世界 史上最雕『连锁反应』：破〈逃亡主题〉（金蛋/GoldenEggs原创作品）,2019-08-16 11:00:16,2019-08-16 05:00:53,0,573,"时隔半年，《连锁反应》系列回归，久等了(°∀°)ﾉ
准备好迎接脑洞轰炸了吗？
#单机联机##我的世界##MINECRAFT#",115287324,1920,1000,0
63,BV1HJ411N7Y2,67609474,17,单机游戏,当你忘记关电脑时，桌面会发生什么...（我的世界-沙雕特效）,2019-09-13 20:48:50,2019-09-13 20:48:50,0,431,"当当当，你关注的日（月）更up已经复活
#单机联机##我的世界##MINECRAFT#",118440706,1920,1080,0
64,BV1LE41197Zq,69642987,17,单机游戏,我 的 海 绵 宝 宝,2019-10-01 18:19:05,2019-10-01 18:19:05,0,452,#单机联机##海绵宝宝##我的世界#  它来了，它来了,361849311,1920,1080,0
65,BV1UE411y7Wy,73267982,17,单机游戏,你被困在2019年10月25日，如何逃出这一天？（三大循环体+随机选项+真假结局+彩蛋）我的世界 & 互动视频,2019-10-25 20:17:33,2019-10-24 21:02:42,0,1575,#MC##我的世界##单机联机##互动视频##互动视频游戏开发大赛#,245682070,1920,1000,1
66,BV1PJ411C7Do,79001466,17,单机游戏,如果MC世界丢失了所有颜色（拾色冒险-第〇集）（脑洞短片）,2019-12-13 17:30:58,2019-12-12 21:24:55,0,267,"一个全新的脑洞尝试
#我的世界# #MINECRAFT# #单机联机#",142071684,1920,1000,0
67,BV1qJ411x71v,79957657,17,单机游戏,【2019】M C 冰 火 人,2019-12-20 17:15:46,2019-12-20 17:15:46,0,334,"正片的后面还有正片，正片的后面的正片的后面还有正片
#单机联机##MINECRAFT##我的世界#",136839019,1920,1000,0
68,BV1e7411i72E,83937963,17,单机游戏,红色世界：无夜镇（拾色冒险-番外互动）,2020-01-18 14:36:24,2020-01-18 14:27:56,0,1566,"*来狂欢吧！火焰，是希望还是诅咒？*
共计37段视频，自由探索吧！
#互动视频##我的世界##MINECRAFT#",143590083,1920,1000,1
69,BV1g741167uL,85685362,17,单机游戏,我的世界 史上最叼『连锁反应』：Q,2020-01-30 11:45:10,2020-01-30 08:37:56,0,346,"时隔半年，《连锁反应》第四代回归~
准备好迎接全新的脑洞了吗
#单机联机##MINECRAFT##我的世界#",146940571,1920,1000,0
70,BV1B7411p7GE,86619045,17,单机游戏,【创意沙盒】画一个生“草”的世界,2020-02-04 11:00:59,2020-02-04 09:01:39,0,323,"和Minecraft一样，它也是一款脑洞大开的像素沙盒游戏
#单机联机##实况解说##生活#",191218799,1920,1080,0
71,BV1oE411g7X5,94610643,172,手机游戏,当游戏入侵现实世界会发生什么...（要素过载）,2020-03-08 15:50:18,2020-03-08 15:50:19,0,169,"一个全新的尝试
#单机联机##我的世界##明日方舟#",161498130,1920,1080,0
72,BV1ZE411A763,97998722,17,单机游戏,创造一颗属于你的星球！23个星球形态+14种结局（我的世界 & 互动视频《创世纪》）by GoldenEggs / 金蛋,2020-03-21 11:08:25,2020-03-21 05:43:14,0,841,"万物创生，万物毁灭，时间推移，变化不定。
变化的结果，会因为选择的不同而产生天壤之别。
现在，你就是世间一切生灵的造物主   ——《创世纪》
=============================
23种不同属性的方块星球等你探索发现！
#互动视频##单机联机##我的世界#",183149599,1920,1016,1
73,BV13K411W73Y,498104569,17,单机游戏,"当B站弹幕入侵""我""的世界（三周年特别视频）",2020-05-02 15:02:30,2020-05-02 15:02:30,0,238,"三周年特别视频
#单机联机##MC##我的世界#",185987351,1920,1000,0
74,BV11Z4y1p7hs,370789311,17,单机游戏,土  豆  服  务  器，用育碧的方式打开MC,2020-05-29 17:00:53,2020-05-29 11:13:56,0,417,"时隔两年，那个男人带着键盘回来了！你能保持几秒不笑？
#单机联机##MINECRAFT##MC#",197013600,1920,1016,0
75,BV1UC4y187mA,796221000,17,单机游戏,建  房  鬼  才，你能造出什么样的奇葩房子？9款房屋+36种评价（我的世界 & 互动视频）,2020-07-04 11:33:36,2020-07-04 08:03:42,0,1731,"9款奇葩房屋 + 36种随机评价 等你解锁 |ू･ω･` )
#互动视频##我的世界##MC#",222063446,1920,1080,1
76,BV1qz4y1D7od,583866367,17,单机游戏,《信仰巧合的村民们》，你所见的就一定是事实吗？（我的世界-荒诞短片）,2020-07-16 11:00:43,2020-07-16 03:15:12,0,477,"居然更新了
#单机联机##MC##我的世界#",213632432,1920,1016,0
77,BV11V411z7iG,414122545,17,单机游戏,用MC的方式打开《Q版泡泡堂》（原创多人对战小游戏）,2020-08-01 18:07:27,2020-08-01 18:07:27,0,513,"？这个up怎么又更新了？
#单机联机##MINECRAFT##MC#
================
本期视频所使用mod
Replay",370665803,1920,1000,0
78,BV1C64y1c77x,584264200,17,单机游戏,透过视觉错位，你能否看清『神圣几何』的真面目？（还原纪念碑谷）,2020-08-16 16:50:29,2020-08-16 16:50:29,0,206,"该来的总会来的
#单机联机##我的世界##纪念碑谷#",225090008,1920,1080,0
79,BV1zp4y1Y7RC,969427871,17,单机游戏,【2020】M C 冰 火 人,2020-08-25 21:17:30,2020-08-25 21:17:30,0,286,"You can hear the whistle blow a hundred miles.
#单机联机##MINECRAFT##我的世界#",308434934,1920,1000,0
80,BV19v4y1f7Q9,543884699,17,单机游戏,从『0维空间』到『5维时空』，改变这个世界的维度！我的世界 & 互动视频《维度跃迁者》,2021-01-28 11:43:11,2021-01-28 09:02:03,0,1524,"准备好了吗？
这是一场关于维度的大冒险。
#我的世界##单机联机##互动视频#",288699073,1920,1000,1
81,BV1fN411X71B,501812146,17,单机游戏,界  世  的  我,2021-02-25 12:10:26,2021-02-25 12:10:26,0,527,"了 倒 也 么 怎 像 头 的 我
#我的世界# #MINECRAFT# #单机联机#",316048018,1920,1016,0
82,BV1By4y1t7Tf,802386832,17,单机游戏,MC 1.20 机 密 内 容 泄 露,2021-04-02 17:01:23,2021-04-02 17:01:23,0,304,当所有人都以为愚人节更新时，何尝不是一个愚人节玩笑呢,429366170,1920,1080,0
83,BV1K64y1t7Ne,761708536,17,单机游戏,我 的 哆 啦 A 梦,2021-07-12 17:23:48,2021-07-12 17:23:48,0,352,#我的世界##哆啦A梦##单机联机#,368585106,1920,1016,0
84,BV1Vf4y1V79Y,292133487,17,单机游戏,【戴森球计划】9种形态戴森球，169小时存档展示 [我的幻之宇宙][ROG],2021-08-08 15:00:47,2021-08-08 15:00:47,0,229,"日月之行，若出其中。星汉灿烂，若出其里。
#戴森球计划 #单机联机 #独立游戏",384868021,1920,1080,0
85,BV1pQ4y1h73A,720136210,17,单机游戏,从一个方块开始，写一个Minecraft 2.0！,2021-08-28 17:49:50,2021-08-28 17:49:50,0,285,,429347056,1920,1080,0
86,BV1FY411s7Xm,251950759,17,单机游戏,当你把MC玩成开放世界RPG（第一章：绿色世界）,2021-11-26 20:29:25,2021-11-26 20:29:25,0,1439,"一个全新的尝试，建议佩戴耳机，友善交流
#我的世界##MC##单机联机#",459998815,1920,1080,0
87,BV16b4y1v7su,635067582,17,单机游戏,我们为粉丝准备了一个解谜挑战...（GoldenEggs）,2021-12-24 19:42:28,2021-12-24 19:42:28,0,605,因为被解得太快，下次难度或许可以增加三倍...,475995033,3840,2160,0
88,BV1DT4y117k2,935749584,17,单机游戏,数千条指令，用MC极致还原2008年北京奥运会开幕式,2022-01-16 13:10:52,2022-01-16 13:10:52,0,390,"One World,One Dream",485385564,1920,1080,0
89,BV1kq4y1F7Uh,551162867,17,单机游戏,2022我的世界拜年纪,2022-02-01 10:21:01,2022-02-01 02:19:12,0,1552,2022我的世界拜年纪,498840561,1920,1080,0
90,BV1wm4y1Z7jq,678797271,17,单机游戏,我的世界 史上最弔『连锁反应』,2022-02-07 11:00:19,2022-02-07 09:32:18,0,396,完整版，追加了一些场景，一定不要错过 05:11 后面的彩蛋哦,502997706,1920,1080,0
91,BV1fY4y1V7Wm,642213643,17,单机游戏,我的世界，但是太空版,2022-06-02 17:00:01,2022-06-02 09:35:43,0,324,全新的视觉效果，全新的MC体验，还有一个全新的鸽子出现在你的动态里,735959678,1920,1080,0
92,BV1Wt4y1V75k,983975282,17,单机游戏,MC 1.20 绝 密 内 容 曝 光,2022-07-30 11:30:00,2022-07-30 11:30:17,0,318,Mojang看了沉默,788236033,1920,1080,0
